Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Temperature_C,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Soil_Moisture_Percent,Irrigation_Type,Crop_Variety,Sowing_Month,Harvest_Month,Growing_Days,Soil_Fertility_Index,Pest_Risk_Index,Disease_Risk_Index,Water_Availability_Index,Weather_Stress_Index,Crop_Health_Index
Groundnut,2015,Kharif,Madhya Pradesh,234000.0,260000,1000.7,36950940.0,77220.0,1.022592593,27.5,49.8,Black,7.21,202.1,84.4,94.3,56.9,Borewell,Hybrid,July,November,114,65.2,22.3,39.0,40.1,28.0,53.0
Garlic,2008,Whole Year,Gujarat,33900.0,198800,746.1,4849056.0,3051.0,5.214,21.7,35.4,Sandy,6.8,118.3,33.0,48.9,42.3,Borewell,Improved,January,June,141,51.0,24.6,20.4,24.9,36.9,47.8
Dry chillies,2005,Whole Year,Bihar,3107.0,3029,907.8,372591.44,652.47,0.936774194,24.5,64.8,Loamy,6.46,169.3,64.5,79.7,50.5,Canal,Improved,January,July,171,64.8,40.1,42.6,40.3,26.1,57.8
Rice,2006,Autumn,Bihar,517983.0,530242,1052.8,66151608.93,113956.26,0.962413793,27.4,60.2,Loamy,6.9,156.1,68.9,83.7,43.7,Borewell,Swarna,September,January,134,55.7,35.6,34.3,48.8,12.5,56.2
Sesamum,2006,Kharif,Andhra Pradesh,79449.0,18224,845.2,10146431.79,17478.78,0.213809524,31.1,61.9,Alluvial,6.81,191.0,64.8,78.9,52.7,Canal,Improved,May,August,87,62.2,37.7,24.3,38.5,28.7,63.3
Arhar/Tur,2016,Kharif,Bihar,20980.0,33173,1205.6,3215185.0,7343.0,1.667714286,31.5,80.5,Loamy,6.66,207.9,87.3,92.6,43.6,Rainfed,Hybrid,June,November,163,73.8,40.0,44.6,21.2,49.2,53.0
Sunflower,2004,Kharif,Bihar,16555.0,23429,1147.8,1793568.7,3476.55,1.368928571,24.0,68.2,Alluvial,6.77,177.6,61.2,70.2,63.5,Borewell,Local,July,October,102,61.8,18.1,23.0,45.1,6.1,73.1
Other Kharif pulses,2002,Kharif,Manipur,1280.0,650,1743.7,121177.6,320.0,0.5175,27.6,83.6,Red,6.21,98.3,59.1,35.2,64.9,Drip,Local,June,September,104,50.1,23.9,34.7,54.8,8.2,68.6
Castor seed,2004,Kharif,Gujarat,330500.0,564800,719.8,35806370.0,69405.0,1.746956522,29.1,57.2,Black,7.58,160.9,55.4,87.9,56.0,Drip,DCH 177,July,January,181,56.4,14.8,24.7,38.7,19.7,64.8
Maize,2008,Kharif,Maharashtra,550100.0,1323000,1052.8,78686304.0,49509.0,1.992222222,28.3,68.0,Alluvial,7.21,195.8,67.3,74.0,60.8,Borewell,Hybrid,June,October,110,55.5,37.0,31.5,41.2,32.3,55.4
Groundnut,2014,Kharif,Bihar,574.0,587,1061.0,86651.04,189.42,1.017142857,28.9,76.7,Alluvial,6.99,198.2,61.6,86.8,64.0,Canal,Hybrid,July,November,119,62.6,36.0,23.4,43.5,44.5,46.2
Other  Rabi pulses,2012,Rabi,Chhattisgarh,2467.0,394,1366.8,372023.6,764.77,0.1988,21.2,64.8,Laterite,5.47,138.6,69.4,65.9,58.2,Rainfed,Improved,October,February,113,53.8,25.0,17.7,28.4,15.1,58.1
Sweet potato,2019,Rabi,Odisha,6610.0,59200,1593.9,1135333.6,2445.7,8.970909091,25.2,67.2,Red,6.51,223.0,78.2,113.8,45.3,Rainfed,Improved,December,April,110,69.8,10.9,39.6,37.8,15.6,77.3
Rice,2013,Kharif,Telangana,1166334.0,3768045,1348.7,168523599.7,314910.18,3.115555556,30.4,72.4,Black,7.93,180.1,72.9,88.7,59.8,Borewell,Hybrid,May,September,127,47.0,53.7,37.4,54.0,18.3,51.3
Moong(Green Gram),2004,Kharif,Jammu and Kashmir,1944.0,945,1032.1,210612.96,408.24,0.462222222,22.5,70.8,Sandy Loam,6.8,84.4,43.7,73.9,35.8,Rainfed,Local,July,September,67,36.1,27.6,10.4,12.4,47.6,48.4
Potato,2000,Whole Year,Andhra Pradesh,2489.0,14618,935.6,244345.13,647.14,6.14375,21.6,55.0,Sandy,6.22,100.4,14.6,35.1,43.2,Canal,Hybrid,January,May,105,35.6,18.5,32.9,44.2,28.2,53.2
Groundnut,2001,Kharif,Puducherry,1229.0,1915,1434.5875,125517.77,319.54,1.195,29.0,87.4,Red,6.43,111.5,51.2,58.6,50.1,Rainfed,High Yielding Variety,July,November,112,56.9,41.3,31.6,30.5,58.6,48.0
Soyabean,2003,Kharif,Karnataka,93904.0,45255,867.6,9294617.92,22536.96,0.481,27.5,60.0,Black,7.12,180.5,46.9,59.2,50.6,Borewell,Local,July,October,102,56.2,36.2,37.9,40.9,33.1,58.0
Urad,2003,Kharif,Sikkim,3780.0,2810,2838.1,374144.4,907.2,0.6475,24.9,89.5,Black,8.08,118.2,42.3,60.0,78.5,Rainfed,Hybrid,June,August,73,41.2,46.8,37.7,46.1,52.0,46.8
Linseed,2010,Rabi,Nagaland,5700.0,4580,1771.8,946827.0,1368.0,0.807272727,18.3,68.9,Black,7.79,232.9,93.1,105.2,79.1,Drip,Improved,December,April,124,66.9,7.4,34.8,78.0,3.2,71.9
Dry chillies,2009,Whole Year,Arunachal Pradesh,2086.0,3499,1701.9,325040.52,354.62,2.042857143,22.9,77.1,Loamy,6.84,242.1,75.7,92.8,61.9,Rainfed,Byadgi,January,July,167,72.7,35.2,29.0,34.0,46.3,54.8
Gram,2005,Rabi,Chhattisgarh,242687.0,172249,1292.7,29103025.04,50964.27,0.67375,21.7,72.6,Laterite,5.83,141.4,50.4,45.2,48.2,Rainfed,Local,October,February,108,46.0,30.9,7.6,44.2,5.1,57.8
Soyabean,2003,Kharif,Sikkim,3890.0,3210,2838.1,385032.2,933.6,0.8125,22.6,95.0,Black,7.82,148.4,39.5,56.3,72.6,Rainfed,Hybrid,May,September,118,41.8,29.6,32.6,49.9,28.4,53.7
Sunflower,1999,Rabi,Karnataka,248532.0,95523,1203.8,26376701.16,67103.64,0.473478261,23.7,50.2,Black,7.79,132.5,56.4,61.1,54.0,Borewell,HYV,December,March,97,50.4,20.1,28.2,65.9,12.1,75.9
Maize,2006,Kharif,Jammu and Kashmir,323598.0,486900,1786.5,41326700.58,71191.56,1.449166667,26.5,65.2,Loamy,6.05,165.2,53.7,62.8,59.2,Rainfed,High Yielding Variety,May,August,99,59.5,33.8,46.3,39.0,13.8,57.1
Potato,2009,Whole Year,Andhra Pradesh,5040.0,57159,711.0,785332.8,856.8,10.294,23.5,61.7,Red,6.12,210.2,71.2,82.6,46.3,Canal,Local,January,April,102,64.0,21.1,37.0,32.0,53.0,53.7
Rapeseed &Mustard,2013,Rabi,Chhattisgarh,47542.0,26999,1418.3,6869343.58,12836.34,0.546296296,20.5,69.6,Loamy,6.82,158.6,75.1,78.6,49.2,Rainfed,HYV,December,April,124,53.7,18.7,32.3,30.7,41.8,52.7
Barley,2017,Rabi,Haryana,20200.0,73500,417.1,3180288.0,7676.0,3.711333333,13.7,38.7,Alluvial,7.38,246.5,86.1,82.5,46.1,Canal,Local,October,February,133,70.7,17.3,21.4,29.8,35.3,62.5
Urad,2000,Kharif,Bihar,32064.0,20298,1207.0,3147722.88,8336.64,0.6309375,29.8,75.8,Loamy,6.19,138.5,41.3,65.0,60.2,Canal,Local,May,August,82,45.8,32.9,35.4,56.2,12.3,63.5
Turmeric,2009,Kharif,Jammu and Kashmir,11.0,11,751.7,1714.02,1.87,1.055,22.6,70.1,Sandy Loam,6.4,205.5,58.5,87.3,46.4,Canal,Local,July,March,239,57.9,29.1,38.7,42.7,45.1,50.9
Ginger,2000,Kharif,Karnataka,10758.0,141587,1213.3,1056112.86,2797.08,12.76823529,27.2,73.4,Loamy,6.85,165.8,49.1,56.6,55.4,Flood,Improved,June,January,221,55.9,19.8,39.9,70.8,33.4,61.2
Wheat,2013,Rabi,Assam,31294.0,40444,1797.7,4521670.06,8449.38,1.232,21.0,76.8,Loamy,6.22,145.6,78.0,78.0,61.1,Rainfed,Local,November,April,144,58.1,11.2,44.0,39.6,24.9,65.0
Wheat,2013,Rabi,Jammu and Kashmir,292380.0,464577,1193.8,42245986.2,78942.6,1.27,12.7,44.8,Loamy,6.69,164.8,71.5,65.3,40.5,Rainfed,Improved,November,April,143,60.7,10.9,21.6,19.8,44.1,45.6
Groundnut,2016,Rabi,Karnataka,3309.0,7482,1147.2,507104.25,1158.15,2.26,24.7,45.8,Sandy Loam,6.84,176.9,72.1,82.4,51.2,Borewell,Hybrid,December,April,111,62.7,12.4,25.5,50.6,39.3,61.0
Moong(Green Gram),2013,Rabi,Tripura,274.0,155,2043.5,39590.26,73.98,0.5775,23.3,67.9,Alluvial,6.63,195.7,70.1,94.9,73.7,Canal,HYV,November,January,69,69.9,27.1,36.5,83.4,43.1,75.1
Urad,2006,Kharif,Karnataka,134069.0,18350,1146.3,17121951.99,29495.18,0.164285714,28.6,64.6,Black,7.21,177.1,63.4,71.1,45.5,Drip,HYV,June,September,84,50.8,16.6,16.0,51.0,8.6,59.9
Cotton(lint),2010,Kharif,Tamil Nadu,120765.0,247930,1095.2,20060274.15,28983.6,2.360344828,30.3,69.6,Alluvial,7.13,244.8,91.1,79.1,57.5,Borewell,Desi,June,November,161,69.7,39.0,31.8,51.5,23.3,57.7
Rapeseed &Mustard,2012,Rabi,Gujarat,212800.0,360600,460.6,32090240.0,65968.0,1.65875,16.6,37.8,Sandy,7.03,150.8,45.3,74.5,23.5,Rainfed,Pusa Bold,October,February,127,46.8,21.4,20.0,0.0,28.5,41.6
Horse-gram,2018,Kharif,Madhya Pradesh,1852.0,699,1102.2,300394.4,648.2,0.216666667,26.7,62.1,Sandy Loam,6.46,217.7,82.2,106.0,64.2,Drip,Local,June,September,101,75.6,24.9,17.3,38.8,14.5,74.8
Urad,2008,Rabi,Puducherry,124.0,79,1434.5875,17736.96,11.16,0.525,25.6,70.8,Alluvial,7.12,192.4,70.4,82.2,58.5,Rainfed,Improved,October,January,78,70.2,33.4,30.3,35.5,45.9,59.6
Onion,2012,Rabi,Puducherry,1.0,18,1098.3,150.8,0.31,18.0,16.6,67.0,Red,6.48,206.7,52.2,93.1,57.7,Canal,Local,December,April,128,60.5,30.2,36.6,63.9,31.6,65.0
Jowar,2001,Kharif,West Bengal,1194.0,658,1556.6,121943.22,310.44,0.611428571,27.6,89.5,Black,7.91,133.5,47.4,64.5,70.1,Rainfed,Local,May,September,111,50.6,29.7,35.4,37.8,24.4,46.2
Ginger,2005,Whole Year,Andhra Pradesh,2161.0,16456,1075.5,259147.12,453.81,5.812222222,24.9,63.6,Red,5.95,139.6,41.5,46.7,42.7,Borewell,Improved,January,August,222,47.7,17.7,21.2,36.9,16.8,54.6
Niger seed,2006,Kharif,Karnataka,27426.0,5197,1146.3,3502574.46,6033.72,0.213043478,26.1,68.2,Red,6.32,133.6,52.3,53.2,35.3,Rainfed,High Yielding Variety,June,September,95,45.6,27.6,19.0,15.7,33.5,58.0
Cashewnut,2016,Whole Year,Manipur,31.0,19,2039.8,4750.75,10.85,0.585,25.0,81.0,Alluvial,7.54,214.3,71.8,94.2,79.5,Canal,Vengurla,January,January,360,62.9,26.1,41.6,71.9,35.5,66.0
Gram,2003,Rabi,Karnataka,509534.0,171096,867.6,50433675.32,122288.16,0.32,15.1,49.2,Loamy,6.94,137.7,38.3,71.5,43.4,Canal,Improved,November,February,102,48.2,14.6,32.7,44.2,43.9,59.3
Black pepper,2006,Kharif,Puducherry,12.0,7,1434.5875,1532.52,2.64,0.58,28.8,85.1,Alluvial,7.48,170.9,64.0,73.9,60.2,Borewell,Panniyur,June,June,361,51.3,36.3,41.8,69.6,41.6,60.1
Peas & beans (Pulses),2007,Rabi,Bihar,23288.0,25083,1600.2,3106619.2,3726.08,1.094324324,12.3,64.8,Alluvial,7.44,203.6,43.5,85.9,66.4,Borewell,Improved,November,February,104,55.7,26.6,34.4,70.3,26.6,63.8
Gram,2013,Rabi,Andhra Pradesh,472380.0,648031,1062.3,68254186.2,127542.6,1.639090909,18.7,58.5,Alluvial,7.04,188.2,63.1,76.1,55.1,Drip,Local,November,March,105,56.1,16.2,36.3,42.7,13.3,63.8
Horse-gram,2017,Kharif,Chhattisgarh,38331.0,14818,1124.5,6034832.64,14565.78,0.4,28.2,53.1,Black,7.86,169.2,73.9,89.2,45.3,Rainfed,Local,June,October,106,55.9,4.0,25.9,8.1,45.2,42.2
Ragi,2016,Rabi,Andhra Pradesh,5159.0,8895,890.0,790616.75,1805.65,1.78,24.1,58.5,Laterite,5.35,156.8,63.5,72.6,56.4,Canal,HYV,December,April,123,50.8,27.2,20.5,45.8,12.8,62.3
Wheat,1999,Rabi,Bihar,2080847.0,4583515,1402.7,220840292.1,561828.69,2.113513514,16.8,70.5,Alluvial,6.72,156.4,59.0,63.8,59.1,Borewell,HD 2967,November,April,138,58.5,10.8,23.8,71.9,5.6,68.8
Jowar,2008,Rabi,Andhra Pradesh,160490.0,269115,944.6,22956489.6,14444.1,2.484444444,21.2,64.8,Red,5.94,174.0,39.1,64.5,48.2,Canal,Local,November,March,119,48.7,26.8,10.1,48.6,46.2,57.2
Sweet potato,2009,Whole Year,Chhattisgarh,2793.0,15042,956.9,435205.26,474.81,5.366470588,25.9,61.4,Red,6.29,175.3,59.1,67.1,42.4,Borewell,High Yielding Variety,January,May,117,61.0,26.9,19.5,32.8,3.8,65.4
Maize,2012,Rabi,Manipur,6800.0,19000,1176.7,1025440.0,2108.0,2.796666667,19.7,76.0,Alluvial,7.22,180.4,91.6,88.2,50.0,Rainfed,Improved,December,March,102,59.1,44.4,13.7,28.0,61.9,44.5
Rice,2019,Rabi,Puducherry,9397.0,28114,1317.0,1614028.72,3476.89,3.883333333,24.1,64.4,Clay,7.14,259.8,103.7,105.0,62.4,Canal,Local,November,March,133,80.9,37.1,33.2,68.3,35.2,64.4
Other Kharif pulses,2016,Kharif,Arunachal Pradesh,2450.0,2235,2933.7,375462.5,857.5,0.8725,29.2,95.0,Loamy,6.31,215.4,67.5,101.1,79.5,Rainfed,High Yielding Variety,May,August,99,78.4,23.4,10.4,56.1,41.8,65.4
Potato,2017,Kharif,Karnataka,23219.0,223849,1111.7,3655599.36,8823.22,9.301176471,25.3,80.6,Black,8.02,185.2,74.7,118.1,47.9,Rainfed,Kufri Jyoti,May,September,107,61.7,29.3,34.4,30.6,66.3,50.8
Cotton(lint),2002,Kharif,Kerala,3400.0,5488,2511.2,321878.0,850.0,1.61,30.0,95.0,Black,8.09,97.1,29.7,44.3,74.8,Rainfed,Desi,May,November,168,40.1,72.8,37.1,47.2,32.8,54.0
Wheat,2012,Rabi,Maharashtra,785000.0,1198700,1003.4,118378000.0,243350.0,1.461034483,17.9,45.3,Loamy,6.79,224.6,66.1,101.4,32.0,Rainfed,PBW 343,October,February,134,58.2,12.0,16.9,22.4,4.0,65.5
Horse-gram,2011,Rabi,Karnataka,113665.0,57234,1178.986364,19041160.8,37509.45,0.464285714,23.4,47.6,Laterite,5.87,204.8,68.4,95.0,49.2,Borewell,Local,November,February,103,65.0,4.2,0.0,51.9,32.5,67.0
Ragi,2011,Rabi,Karnataka,33850.0,50937,1178.986364,5670552.0,11170.5,1.75125,19.3,56.5,Black,8.08,236.6,95.2,99.3,68.6,Borewell,HYV,November,March,121,80.7,19.1,14.6,52.3,40.5,68.8
Sweet potato,2010,Whole Year,Haryana,64.0,0,639.2,10631.04,15.36,0.0,23.6,48.3,Sandy Loam,6.04,232.2,76.1,94.9,51.5,Canal,High Yielding Variety,January,May,130,68.2,14.7,16.3,40.2,25.3,64.3
Wheat,2003,Rabi,Arunachal Pradesh,4150.0,6320,2782.2,410767.0,996.0,1.511818182,12.3,86.3,Alluvial,7.29,166.8,55.7,59.1,74.1,Canal,HD 2967,November,April,142,53.4,38.4,22.4,86.3,51.0,68.6
Onion,2011,Whole Year,Madhya Pradesh,67857.0,1267840,852.6,11367404.64,22392.81,17.7412,23.1,46.4,Black,7.66,252.8,88.3,110.9,30.4,Rainfed,Local,January,May,129,78.9,13.9,35.1,13.9,59.1,53.8
Rice,2008,Kharif,Goa,33638.0,78705,3271.6,4811579.52,3027.42,2.325,30.3,91.4,Laterite,5.61,134.9,55.8,72.5,68.9,Canal,Basmati,July,November,133,46.6,36.3,48.5,80.1,33.8,60.1
Ragi,2002,Rabi,Andhra Pradesh,9610.0,12393,648.1,909778.7,2402.5,1.251428571,22.5,42.0,Sandy,6.85,89.7,8.6,30.5,30.7,Rainfed,High Yielding Variety,November,March,118,30.7,11.8,21.8,12.4,40.4,47.9
Niger seed,2011,Kharif,Maharashtra,37400.0,11470,1174.095455,6265248.0,12342.0,0.277368421,26.0,57.1,Black,7.26,261.7,85.0,131.1,58.6,Canal,Local,July,October,99,78.2,13.7,8.9,59.4,45.2,74.7
Maize,2005,Rabi,Mizoram,932.0,1983,2075.4,111765.44,195.72,2.625,20.7,80.4,Red,5.95,111.1,45.8,52.2,71.0,Canal,Hybrid,December,March,99,53.4,38.5,41.0,79.3,45.4,65.2
Rapeseed &Mustard,2007,Rabi,Assam,234804.0,122897,2154.1,31322853.6,37568.64,0.503703704,16.7,85.4,Alluvial,6.68,166.4,59.1,93.2,58.5,Rainfed,Local,December,April,126,54.1,28.6,29.9,48.0,3.9,65.4
Tapioca,2011,Whole Year,Tamil Nadu,105350.0,3967751,926.5,17648232.0,34765.5,37.77344828,30.9,62.6,Sandy,7.08,193.6,79.7,102.4,37.9,Rainfed,Improved,January,November,296,68.5,15.7,26.5,1.2,35.8,39.5
Urad,2006,Rabi,Nagaland,660.0,790,1362.5,84288.6,145.2,1.235,21.1,77.8,Black,7.16,178.3,53.1,60.0,51.6,Rainfed,Hybrid,December,March,86,49.3,32.1,25.3,23.1,47.8,52.5
Potato,2016,Kharif,Mizoram,106.0,437,2626.8,16244.5,37.1,3.75,23.3,94.9,Red,6.24,183.9,59.2,76.3,56.9,Rainfed,Hybrid,May,September,110,60.6,36.6,52.5,41.8,66.5,44.0
Urad,2017,Kharif,Telangana,32181.0,25976,815.7,5066576.64,12228.78,0.813333333,29.0,62.9,Black,7.4,236.6,78.6,75.8,51.8,Borewell,Local,July,October,79,69.0,32.8,23.3,43.5,0.0,60.3
Other  Rabi pulses,2002,Rabi,Karnataka,40653.0,4715,860.8,3848619.51,10163.25,0.120384615,19.2,45.8,Alluvial,7.35,134.1,57.7,47.8,47.1,Borewell,Improved,November,March,107,52.8,17.1,29.0,34.4,5.1,72.3
Sunflower,2007,Kharif,Nagaland,1000.0,970,1769.0,133400.0,160.0,0.9375,26.2,95.0,Black,7.91,178.0,59.9,96.4,72.5,Rainfed,Hybrid,July,November,110,66.5,23.4,36.8,39.4,24.3,64.7
Groundnut,2004,Kharif,Chhattisgarh,34086.0,38108,1122.8,3692877.24,7158.06,1.20125,28.7,67.3,Laterite,5.63,157.3,56.2,53.8,53.3,Canal,Hybrid,July,November,110,46.4,25.7,27.2,57.5,11.5,46.6
Sweet potato,2004,Whole Year,Assam,8026.0,28030,2536.9,869536.84,1685.46,3.406956522,23.9,87.8,Sandy,6.23,121.8,43.2,35.3,73.9,Borewell,Local,February,June,119,42.9,27.8,32.7,69.7,32.8,60.3
Banana,2019,Whole Year,Goa,2460.0,30898,4489.5,422529.6,910.2,13.095,28.0,91.1,Alluvial,6.55,269.3,89.5,109.7,75.9,Canal,Local,January,December,329,82.0,41.7,50.7,88.9,22.7,83.6
Urad,2016,Kharif,Chhattisgarh,90063.0,29375,1298.9,13802154.75,31522.05,0.342592593,30.9,72.4,Loamy,6.11,212.7,72.2,101.0,65.8,Borewell,Local,May,August,88,66.8,30.5,32.3,61.4,22.7,74.1
Arhar/Tur,2004,Kharif,Gujarat,254400.0,236000,719.8,27561696.0,53424.0,0.955,28.4,62.1,Red,6.24,122.0,53.2,56.4,46.1,Borewell,ICPL 87,May,October,164,55.8,23.0,26.5,31.3,14.8,50.5
Rice,2002,Kharif,Punjab,2530000.0,8880000,301.8,239515100.0,632500.0,3.438823529,29.0,49.5,Alluvial,7.01,114.3,50.4,40.0,45.3,Borewell,Hybrid,July,November,122,38.1,24.8,25.2,18.6,46.6,46.8
Ragi,2018,Summer,Puducherry,14.0,35,1693.9,2270.8,4.9,2.5,29.2,69.1,Laterite,5.92,212.5,63.0,106.1,65.5,Canal,Improved,April,August,107,71.8,38.6,12.5,61.2,33.0,68.2
Turmeric,2015,Whole Year,Arunachal Pradesh,800.0,3840,2593.2,126328.0,264.0,4.782,22.5,91.5,Red,5.75,193.7,72.4,91.4,69.7,Canal,Local,February,September,223,55.7,46.0,45.9,83.6,30.1,69.5
Urad,2013,Autumn,Odisha,27587.0,8298,1632.4,3986045.63,7448.49,0.253888889,27.2,80.5,Red,5.96,128.7,52.1,83.8,61.4,Borewell,Improved,September,December,82,49.3,39.5,27.9,67.6,16.7,63.6
Rice,2009,Autumn,Assam,340830.0,334655,1727.1,53108130.6,57941.1,1.070740741,26.7,84.9,Alluvial,7.41,234.1,80.5,99.5,62.4,Canal,Local,October,February,126,65.4,40.3,46.3,65.8,7.9,67.9
Dry chillies,2002,Whole Year,Madhya Pradesh,43928.0,31627,800.8,4158663.76,10982.0,0.528666667,26.7,51.3,Red,6.53,94.0,38.5,27.2,40.7,Borewell,High Yielding Variety,January,July,169,34.1,33.2,38.1,29.8,18.2,53.8
Rice,2002,Kharif,Uttar Pradesh,5209137.0,9586935,664.0,493148999.8,1302284.25,1.765942029,26.3,62.3,Clay,6.43,134.1,42.0,49.2,63.7,Canal,Local,June,November,136,47.3,35.3,44.1,38.1,39.7,39.3
Maize,2013,Rabi,Karnataka,103879.0,318029,1235.6,15009476.71,28047.33,2.988888889,22.1,44.4,Alluvial,7.05,194.1,74.9,80.8,67.0,Borewell,Local,November,February,98,62.5,27.2,38.7,54.9,30.5,66.8
Coconut,2013,Whole Year,Karnataka,430774.0,3417792000,1235.6,62242535.26,116308.98,8039.727,25.3,65.3,Laterite,5.46,150.0,43.5,73.8,54.2,Drip,HYV,January,May,107,48.8,31.6,23.6,56.3,6.1,67.5
Maize,2017,Kharif,Himachal Pradesh,280811.0,711114,1182.2,44210883.84,106708.18,2.886666667,21.7,67.9,Loamy,6.06,238.7,83.5,99.2,40.7,Rainfed,Hybrid,June,September,104,64.9,31.5,37.2,32.4,47.2,44.0
Sesamum,2017,Rabi,Andhra Pradesh,26281.0,7927,868.2,4137680.64,9986.78,0.325,23.1,49.3,Sandy,7.35,177.2,63.7,76.6,38.7,Rainfed,HYV,October,January,83,59.0,28.8,13.9,7.2,61.4,46.9
Tobacco,2016,Whole Year,Karnataka,89741.0,65370,1147.2,13752808.25,31409.35,0.773846154,26.7,50.9,Black,8.23,231.7,59.3,92.1,63.8,Canal,High Yielding Variety,January,May,129,56.7,30.5,33.4,53.2,23.4,76.5
Sunflower,2004,Summer,Karnataka,45930.0,29797,1117.7,4976056.2,9645.3,0.684347826,26.0,64.6,Red,5.82,117.7,37.0,54.4,42.9,Rainfed,HYV,April,July,97,34.1,14.6,11.0,20.4,22.6,42.4
Bajra,2015,Rabi,Andhra Pradesh,3421.0,6133,940.7,540210.11,1128.93,1.978333333,25.5,54.5,Sandy Loam,6.1,198.5,68.8,99.4,25.5,Rainfed,Pusa 383,November,February,82,61.3,27.6,39.4,19.3,45.1,50.4
Soyabean,2016,Kharif,Andhra Pradesh,1570.0,1448,890.0,240602.5,549.5,1.0175,26.2,66.3,Loamy,6.69,193.6,73.5,88.7,46.7,Canal,Hybrid,June,October,108,63.9,31.9,19.6,51.0,7.8,66.0
Rice,2012,Winter,Bihar,2653346.0,7076168,924.1,400124576.8,822537.26,2.567894737,22.4,53.2,Clay,6.66,147.6,74.4,85.5,49.7,Borewell,Local,October,February,121,66.8,22.4,43.5,36.6,61.3,52.6
Soyabean,2019,Kharif,Gujarat,100624.0,132661,1067.8,17283178.24,37230.88,1.314705882,26.6,70.2,Sandy,6.71,205.3,83.1,109.6,54.3,Drip,JS 335,June,September,94,68.1,30.1,42.0,41.5,19.2,68.0
Groundnut,1997,Kharif,Mizoram,119.0,178,2644.2,11325.23,36.89,1.483333333,23.9,86.3,Sandy Loam,6.55,115.7,51.3,40.2,63.8,Canal,TAG 24,July,November,107,41.5,42.2,25.2,89.3,33.7,72.0
Sesamum,2012,Kharif,Andhra Pradesh,25000.0,6000,968.7,3770000.0,7750.0,0.2,27.1,63.2,Red,5.84,170.9,62.6,65.8,43.5,Rainfed,High Yielding Variety,June,September,79,54.4,4.6,23.4,13.3,18.7,49.6
Maize,2000,Summer,Karnataka,11165.0,31091,1213.3,1096068.05,2902.9,2.774761905,25.2,54.5,Red,6.39,77.7,33.7,49.5,40.4,Rainfed,Hybrid,April,August,107,34.5,24.8,43.4,30.3,22.2,46.6
Urad,2015,Rabi,Jammu and Kashmir,18.0,9,1572.6,2842.38,5.94,0.465,14.8,54.0,Alluvial,7.34,210.6,73.4,108.3,70.3,Drip,Improved,December,March,80,65.5,31.6,18.6,72.0,37.4,58.0
Moong(Green Gram),2007,Kharif,Chhattisgarh,9211.0,2615,1246.2,1228747.4,1473.76,0.275,29.4,80.7,Red,5.7,161.7,43.1,42.1,39.5,Rainfed,Local,July,September,66,42.3,11.8,40.8,37.5,12.0,41.9
Jute,2012,Kharif,Meghalaya,6380.0,63800,2945.3,962104.0,1977.8,8.833333333,27.2,95.0,Alluvial,6.56,204.6,64.3,87.2,75.4,Canal,Improved,July,November,108,74.8,17.6,52.5,83.8,33.6,67.5
Bajra,2017,Kharif,Madhya Pradesh,309940.0,754740,800.0,48796953.6,117777.2,1.604347826,29.7,62.4,Black,8.03,212.7,84.5,98.1,52.8,Borewell,Hybrid,May,August,83,63.3,39.0,32.1,28.3,0.0,57.1
Wheat,2005,Rabi,Karnataka,252588.0,226369,1316.2,30290352.96,53043.48,0.880714286,18.2,60.7,Alluvial,6.85,189.9,65.5,65.0,65.0,Canal,HYV,October,February,131,76.2,15.2,33.9,56.4,13.9,69.8
Rice,2017,Kharif,Andhra Pradesh,1476928.0,4941933,868.2,232527544.3,561232.64,3.25,30.2,72.2,Alluvial,6.9,211.7,77.7,90.4,45.9,Borewell,IR 64,May,September,132,60.3,24.7,27.2,38.4,29.0,58.0
Potato,2008,Rabi,Jammu and Kashmir,934.0,9338,1390.1,133599.36,84.06,16.446,15.0,51.2,Alluvial,7.06,183.4,56.5,86.9,68.2,Canal,Kufri Jyoti,November,February,98,67.1,27.1,26.6,61.4,25.5,73.2
Groundnut,2007,Kharif,Goa,3720.0,6998,3674.7,496248.0,595.2,1.855,29.7,88.6,Sandy Loam,6.33,168.1,61.9,71.3,63.0,Rainfed,Local,May,September,120,54.1,33.9,42.5,46.7,46.6,69.3
Mesta,2000,Kharif,Meghalaya,4635.0,21358,6258.8,455017.95,1205.1,4.606666667,26.2,95.0,Alluvial,7.22,130.5,24.6,43.3,67.6,Rainfed,Improved,July,November,108,47.1,24.9,40.9,61.3,41.9,62.7
Banana,2011,Whole Year,Gujarat,28600.0,2049900,890.5,4791072.0,9438.0,63.306,25.4,57.2,Sandy Loam,6.38,248.7,77.7,94.7,52.3,Drip,Dwarf Cavendish,February,January,323,65.1,20.6,29.4,32.2,39.9,45.4
Groundnut,2005,Rabi,Karnataka,172368.0,150118,1316.2,20670370.56,36197.28,0.9764,21.7,55.2,Black,7.21,152.6,52.7,62.7,58.3,Canal,Hybrid,October,February,110,56.9,31.8,28.7,55.6,60.8,59.4
